name,translatable,values,values-de-rDE,values-en-rCA,values-en-rGB,values-fr,values-fr-rCA,values-fr-rFR,values-nl,values-sv,values-it,values-fr-rBE,values-nl-rBE,values-en-rBE,values-fr-rCH,values-de-rCH,values-fr-rLU,values-de-rLU,values-en-rLU,values-de-rAT,values-en-rIE,values-pl,values-fi,values-es,values-cs,values-hu
change_viewer_action,TRUE,Try a different viewer,Andere Ansicht versuchen,Try a different viewer,Try a different viewer,Essayez un autre mode de lecture.,Essayez un autre mode de lecture.,Essayez un autre mode de lecture.,Probeer op een andere manier te tonen,Testa en annan webbläsare,Prova un visualizzatore diverso,Essayez un autre mode de lecture.,Probeer op een andere manier te tonen,Try a different viewer,Essayez un autre mode de lecture.,Andere Ansicht versuchen,Essayez un autre mode de lecture.,Andere Ansicht versuchen,Try a different viewer,Andere Ansicht versuchen,Try a different viewer,Spróbuj inny widok,Yritä toisella laitteella,Intentar con otro lector,Zkuste jiné zařízení,Válassz egy másik megtekintőt
clear_search_history,TRUE,Clear Search History,Suchverlauf löschen,Clear search history,Clear Search History,Effacer l\'historique des recherches,Effacer l\'historique des recherches,Effacer l\'historique des recherches,Verwijder zoekgeschiedenis,Radera sökhistoriken,Cancella la cronologia di ricerca,Effacer l\'historique des recherches,Verwijder zoekgeschiedenis,Clear Search History,Effacer l\'historique des recherches,Suchverlauf löschen,Effacer l\'historique des recherches,Suchverlauf löschen,Clear Search History,Suchverlauf löschen,Clear Search History,Wyczyść historię wyszukiwania,Tyhjennä selaushistoria,Borrar Historial de búsqueda,Vymazat historii vyhledávání,Keresési előzmények törlése
company,TRUE,Company,Unternehmen,Company,Company,Entreprise,Entreprise,Entreprise,Bedrijf,Företag,Azienda,Entreprise,Bedrijf,Company,Entreprise,Unternehmen,Entreprise,Unternehmen,Company,Unternehmen,Company,Firma,Yritys,Empresa,Společnost,Munkaadó
confirm,TRUE,Are you sure?,Bist du dir sicher?,Are you sure?,Are you sure?,Vous êtes sûr(e) ?,Vous êtes sûr(e) ?,Vous êtes sûr(e) ?,Weet je het zeker?,Är du säker?,Sei sicuro?,Vous êtes sûr(e) ?,Weet je het zeker?,Are you sure?,Vous êtes sûr(e) ?,Bist du dir sicher?,Vous êtes sûr(e) ?,Bist du dir sicher?,Are you sure?,Bist du dir sicher?,Are you sure?,Jesteś pewny?,Oletko varma?,¿Estás seguro(a)?,Určitě?,Biztos?
confirm_discard_message,TRUE,Any changes will be lost.,Alle Änderungen gehen verloren.,Any changes will be lost.,Any changes will be lost.,Tous les changements seront perdus.,Tous les changements seront perdus.,Tous les changements seront perdus.,Alle aanpassingen worden verwijderd.,Alla ändringar kommer att gå förlorade,Andranno perse le eventuali modifiche.,Tous les changements seront perdus.,Alle aanpassingen worden verwijderd.,Any changes will be lost.,Tous les changements seront perdus.,Alle Änderungen gehen verloren.,Tous les changements seront perdus.,Alle Änderungen gehen verloren.,Any changes will be lost.,Alle Änderungen gehen verloren.,Any changes will be lost.,Utracisz wszystkie zmiany.,Tekemäsi muutokset menetetään.,Los cambios se perderán.,Změny budou ztraceny.,Mnden módosítás elveszik.
confirm_discard_negative,TRUE,Cancel,Abbrechen,Cancel,Cancel,Annuler,Annuler,Annuler,Annuleren,Avbryt,Annulla,Annuler,Annuleren,Cancel,Annuler,Abbrechen,Annuler,Abbrechen,Cancel,Abbrechen,Cancel,Anuluj,Peruuta,Cancelar,Zrušit,Mégse
confirm_discard_positive,TRUE,Discard,Verwerfen,Discard,Discard,Passer,Passer,Passer,Wijs af,Avfärda,Scarta,Passer,Wijs af,Discard,Passer,Verwerfen,Passer,Verwerfen,Discard,Verwerfen,Discard,Odrzuć,Hylkää,Descartar,Vymazat,Elvetés
confirm_discard_title,TRUE,Discard?,Verwerfen?,Discard?,Discard?,Passer ?,Passer ?,Passer ?,Afwijzen?,Avfärda?,Scartare?,Passer ?,Afwijzen?,Discard?,Passer ?,Verwerfen?,Passer ?,Verwerfen?,Discard?,Verwerfen?,Discard?,Odrzucić?,Hylkää?,¿Descartar?,Vymazat?,Elveted?
confirm_profile,TRUE,Confirm Profile,Profil bestätigen,Confirm Profile,Confirm Profile,Confirmer le profil,Confirmer le profil,Confirmer le profil,Bevestig profiel,Bekräfta profil,Conferma profilo,Confirmer le profil,Bevestig profiel,Confirm Profile,Confirmer le profil,Profil bestätigen,Confirmer le profil,Profil bestätigen,Confirm Profile,Profil bestätigen,Confirm Profile,Potwierdź profil,Vahvista profiili,Confirmar Perfil,Potvrdit profil,Profil megerősítése
contract,TRUE,Contract,Freie Mitarbeit,Contract,Contract,CDI,Contrat,CDI,Vast,Kontrakt,Contratto,CDI,Vast,Contract,CDI,Freie Mitarbeit,CDI,Freie Mitarbeit,Contract,Freie Mitarbeit,Contract,Kontrakt,Sopimus,Contrato,Smlouva,Szerződés
conversations,TRUE,Messages,Nachrichten,Conversations,Messages,Messages,Conversations,Messages,Gesprekken,Meddelanden,Messaggi,Messages,Gesprekken,Messages,Messages,Nachrichten,Messages,Nachrichten,Messages,Nachrichten,Messages,Wiadomości,Viestit,Mensajes,Zprávy,Üzenetek
conversations_empty_message,TRUE,"If you\'ve applied to jobs, you should hear back shortly. Apply to jobs by swiping right in your feed.","Wenn du dich auf Jobs beworben hast, solltest du schon bald eine Rückmeldung bekommen.","If you\'ve applied to jobs, you should hear back shortly. Apply to jobs by swiping right in your feed.","If you\'ve applied to jobs, you should hear back shortly. Apply to jobs by swiping right in your feed.","Si vous postulez à une offre, vous devriez avoir des nouvelles du recruteur prochainement. Postulez en swipant les offres vers la droite depuis la secton Offres.","Si vous postulez à une offre, vous devriez avoir des nouvelles du recruteur prochainement. Postulez en glissant les offres vers la droite depuis la secton Offres.","Si vous postulez à une offre, vous devriez avoir des nouvelles du recruteur prochainement. Postulez en swipant les offres vers la droite depuis la secton Offres.",Als je hebt gesolliciteerd op een vacature dan zal je snel iets terug horen. Solliciteer op vacatures door naar rechts te swipen,Om du har sökt några jobb kommer du bli kontaktad inom kort. Sök jobb genom att swipa höger i din feed.,"Se ti sei candidato ad annunci di lavoro, dovresti ricevere una risposta a breve. Puoi candidarti alle offerte scorrendo a destra nella tua Bacheca.","Si vous postulez à une offre, vous devriez avoir des nouvelles du recruteur prochainement. Postulez en swipant les offres vers la droite depuis la secton Offres.",Als je hebt gesolliciteerd op een vacature dan zal je snel iets terug horen. Solliciteer op vacatures door naar rechts te swipen,"If you\'ve applied to jobs, you should hear back shortly. Apply to jobs by swiping right in your feed.","Si vous postulez à une offre, vous devriez avoir des nouvelles du recruteur prochainement. Postulez en swipant les offres vers la droite depuis la secton Offres.","Wenn du dich auf Jobs beworben hast, solltest du schon bald eine Rückmeldung bekommen.","Si vous postulez à une offre, vous devriez avoir des nouvelles du recruteur prochainement. Postulez en swipant les offres vers la droite depuis la secton Offres.","Wenn du dich auf Jobs beworben hast, solltest du schon bald eine Rückmeldung bekommen.","If you\'ve applied to jobs, you should hear back shortly. Apply to jobs by swiping right in your feed.","Wenn du dich auf Jobs beworben hast, solltest du schon bald eine Rückmeldung bekommen.","If you\'ve applied to jobs, you should hear back shortly. Apply to jobs by swiping right in your feed.","Jeśli aplikujesz na oferty pracy, rekruter może się z tobą wkrótce skontaktować. Aplikuj przesuwając ofertę pracy w prawo.","Jos olet hakenut tehtäviin, sinun tulisi saada pian viestiä .Voit hakea tehtävään pyyhkäisemällä oikealle työpaikkalsitauksessa.","Si has solicitado ofertas, deberías recibir noticias de las empresas próximamente. Solicita deslizando las ofertas hacia la derecha desde la sección Ofertas.","Jestli jsi už reagoval na nabídky, brzy zde přistane zpráva od zaměstnavatele. Odpovídej na pozice posunutím doprava.","Ha pályáztál állásra, akkor nemsokára kereshetnek ezzel kapcsolatban. Az állás megpályázásához húzd jobbra ujjad az álláson."
conversations_empty_title,TRUE,"No conversations, yet.",Noch keine Nachrichten,"No conversations, yet.","No conversations, yet.",Aucune conversation pour l\'instant.,Aucune conversation pour l\'instant.,Aucune conversation pour l\'instant.,Nog geen gesprekken.,Inga meddelenaden - ännu.,"Nessuna conversazione, per ora.",Aucune conversation pour l\'instant.,Nog geen gesprekken.,"No conversations, yet.",Aucune conversation pour l\'instant.,Noch keine Nachrichten,Aucune conversation pour l\'instant.,Noch keine Nachrichten,"No conversations, yet.",Noch keine Nachrichten,"No conversations, yet.",Brak wiadomości.,Ei vielä keskusteluita.,Aún no hay mensajes.,Žádné zprávy - zatím!,Még nincs beszélgetés.
days_short,TRUE,%dd,% Tage,%dd,%dd,%dj,%dj,%dj,%dd,%dd,%dd,%dj,%dd,%dd,%dj,% Tage,%dj,% Tage,%dd,% Tage,%dd,%dd,%pv,%d,%d,%dd
degree,TRUE,Degree,(Angestrebter) Abschluss,Degree,Degree,Diplôme,Diplôme,Diplôme,Diploma,Utbildning,Grado,Diplôme,Diploma,Degree,Diplôme,(Angestrebter) Abschluss,Diplôme,(Angestrebter) Abschluss,Degree,(Angestrebter) Abschluss,Degree,Wykształcenie,Tutkinto,Diploma,Titul,Végzettség
degree_level,TRUE,Degree Level,Art des Abschlusses,Degree Level,Degree Level,Niveau d'études,Niveau de diplôme,Niveau d'études,Opleidingsniveau,Utbildningsnivå,Livello d'istruzione,Niveau d'études,Opleidingsniveau,Degree Level,Niveau d'études,Art des Abschlusses,Niveau d'études,Art des Abschlusses,Degree Level,Art des Abschlusses,Degree Level,Poziom wykształcenia,Tutkinnon taso,Nivel académico,Titul,Végzettség szintje
delete_account,TRUE,Delete Account,Account löschen,Delete Account,Delete Account,Supprimer mon compte,Supprimer mon compte,Supprimer mon compte,Account verwijderen,Radera pofil,Elimina account,Supprimer mon compte,Account verwijderen,Delete Account,Supprimer mon compte,Account löschen,Supprimer mon compte,Account löschen,Delete Account,Account löschen,Delete Account,Usuń konto,Poista tili,Suprimir cuenta,Smazat účet,Regisztráció törlése
deny,TRUE,Deny,Ablehnen,Deny,Deny,Refuser,Refuser,Refuser,Afwijzen,Neka,Nega,Refuser,Afwijzen,Deny,Refuser,Ablehnen,Refuser,Ablehnen,Deny,Ablehnen,Deny,Odrzuć,Kiellä,Rechazar,Odmítnout,Megtagadás
description,TRUE,Description,Beschreibung,Description,Description,Description,Description,Description,Beschrijving,Beskrivning,Descrizione,Description,Beschrijving,Description,Description,Beschreibung,Description,Beschreibung,Description,Beschreibung,Description,Opis,Kuvaus,Descripción,Popis,Leírás
description_hint,TRUE,"Describe your role, responsibilities, and skills","Beschreibe deine Rolle, Verantwortungen und Fähigkeiten.","Describe your role, responsibilities, and skills","Describe your role, responsibilities, and skills","Décrivez votre poste, responsabilités et compétences","Décrivez votre poste, responsabilités et compétences","Décrivez votre poste, responsabilités et compétences","Beschrijf jouw rol, verantwoordelijkheden en vaardigheden.","Beskriv din roll, dina ansvarsområden och dina färdigheter","Descrivi il tuo ruolo, le responsabilità e le competenze","Décrivez votre poste, responsabilités et compétences","Beschrijf jouw rol, verantwoordelijkheden en vaardigheden.","Describe your role, responsibilities, and skills","Décrivez votre poste, responsabilités et compétences","Beschreibe deine Rolle, Verantwortungen und Fähigkeiten.","Décrivez votre poste, responsabilités et compétences","Beschreibe deine Rolle, Verantwortungen und Fähigkeiten.","Describe your role, responsibilities, and skills","Beschreibe deine Rolle, Verantwortungen und Fähigkeiten.","Describe your role, responsibilities, and skills","Opisz swoją rolę, obowiązki i umiejętności","Kuvaile tehtävää, vastuualueita ja taitojasi","Describe tu función, responsabilidades y habilidades","Popiš co děláš, povinnosti a dovednosti",Írd le a munkakörödhöz kapcsolódó készségeid és felelőségeid
details,TRUE,Details,Details,Details,Details,Détails,Détails,Détails,Details,Detaljer,Dettagli,Détails,Details,Details,Détails,Details,Détails,Details,Details,Details,Details,Szczegóły,Yksityiskohdat,Detalles,Další informace,Részletek
dialog_confirm_apply_title,TRUE,Application Confirmation,Bestätigung,Application Confirmation,Application Confirmation,Confirmation de candidature,Confirmation de candidature,Confirmation de candidature,Bevestiging van sollicitatie,Bekräftelse på ansökan,Conferma Candidatura,Confirmation de candidature,Bevestiging van sollicitatie,Application Confirmation,Confirmation de candidature,Bestätigung,Confirmation de candidature,Bestätigung,Application Confirmation,Bestätigung,Application Confirmation,Potwierdzenie aplikacji,Vahvistus hakemisesta,Confirmación de solicitud,Potvrzení odpovědi,Pályázás megerősítése
dialog_first_left_swipe_message,TRUE,"Swiping left dismisses a job, and you won\'t be able to apply to it later. Are you sure you want to pass on this job?",Sicher? Der Swipe nach links überspringt den Job. Du wirst ihn in der App nicht mehr wiedersehen.,"Swiping left dismisses a job, and you won\'t be able to apply to it later. Are you sure you want to pass on this job?","Swiping left dismisses a job, and you won\'t be able to apply to it later. Are you sure you want to pass on this job?","En swipant une offre vers la gauche, vous ne serez plus en mesure de postuler plus tard. Êtes-vous sûr(e) de vouloir passer cette offre ?","En glissant une offre vers la gauche, vous ne serez plus en mesure de postuler plus tard. Êtes-vous sûr(e) de vouloir passer cette offre ?","En swipant une offre vers la gauche, vous ne serez plus en mesure de postuler plus tard. Êtes-vous sûr(e) de vouloir passer cette offre ?","Door naar links te swipen, wijs je een vacature af. Hier kan je later niet meer op solliciteren. Weet je zeker dat je deze vacature wilt afwijzen?",Swipar du vänster på ett jobb försvinner det från din feed och du kan inte söka till det vid ett senare tillfälle. Är du säker på att du vill swipa vänster på det här jobbet?,"Trascinando un'offerta verso sinistra la scarterai, e non potrai più candidartici. Sei sicuro di voler scartare questa offerta?","En swipant une offre vers la gauche, vous ne serez plus en mesure de postuler plus tard. Êtes-vous sûr(e) de vouloir passer cette offre ?","Door naar links te swipen, wijs je een vacature af. Hier kan je later niet meer op solliciteren. Weet je zeker dat je deze vacature wilt afwijzen?","Swiping left dismisses a job, and you won\'t be able to apply to it later. Are you sure you want to pass on this job?","En swipant une offre vers la gauche, vous ne serez plus en mesure de postuler plus tard. Êtes-vous sûr(e) de vouloir passer cette offre ?",Sicher? Der Swipe nach links überspringt den Job. Du wirst ihn in der App nicht mehr wiedersehen.,"En swipant une offre vers la gauche, vous ne serez plus en mesure de postuler plus tard. Êtes-vous sûr(e) de vouloir passer cette offre ?",Sicher? Der Swipe nach links überspringt den Job. Du wirst ihn in der App nicht mehr wiedersehen.,"Swiping left dismisses a job, and you won\'t be able to apply to it later. Are you sure you want to pass on this job?",Sicher? Der Swipe nach links überspringt den Job. Du wirst ihn in der App nicht mehr wiedersehen.,"Swiping left dismisses a job, and you won\'t be able to apply to it later. Are you sure you want to pass on this job?",Przesuwając w lewo odrzucasz ofertę i możliwość aplikowania na nią w przyszłości. Czy na pewno chcesz ją odrzucić?,"Vasemmalle pyyhkäisy hylkää tehtävän, etkä pystyhakemaan siihen enää myöhemmin. Oletko varma, että haluat jatkaa?","Al deslizar una oferta hacia la izquierda, ya no podrás solicitarla después. ¿Estás seguro de querer descartar esta oferta?","Potáhnutí doleva zahodí nabídku, která se již nikdy nezobrazí znova. Opravdu ji chceš zahodit?","Ha egy állást balra húzol, akkor később már nem pályázhatsz rá. Biztosan kihagyod ezt az állásajánlatot?"
dialog_first_left_swipe_title,TRUE,Confirm Pass,Überspringen,Confirm Pass,Confirm Pass,Confirmer que ce job ne vous intéresse pas.,Confirmer que ce job ne vous intéresse pas.,Confirmer que ce job ne vous intéresse pas.,Bevestig de afwijzing.,Bekräfta,Conferma Scarta,Confirmer que ce job ne vous intéresse pas.,Bevestig de afwijzing.,Confirm Pass,Confirmer que ce job ne vous intéresse pas.,Überspringen,Confirmer que ce job ne vous intéresse pas.,Überspringen,Confirm Pass,Überspringen,Confirm Pass,Potwierdź odrzucenie,Hylkää tehtävä,Confirma que esta oferta no te interesa.,Potvrdit zahození nabídky,Kihagyás megerősítése
dialog_first_right_swipe_message,TRUE,"Swiping right applies to a job, and we\'ll send your Jobr resume to the employer. Are you sure you want to apply to this job?","Sicher? Der Swipe nach rechts sendet deinen Lebenslauf, falls nicht vorhanden, dein Profil.","Swiping right applies to a job, and we\'ll send your Jobr resume to the employer. Are you sure you want to apply to this job?","Swiping right applies to a job, and we\'ll send your Jobr CV to the employer. Are you sure you want to apply to this job?","En swipant une offre vers la droite, vous y postulez et nous enverrons votre CV ou profil au recruteur. Êtes-vous sûr(e) de vouloir postuler ?","En glissant une offre vers la droite, vous y postulez et nous enverrons votre CV ou profil Jobr au recruteur. Êtes-vous sûr(e) de vouloir postuler ?","En swipant une offre vers la droite, vous y postulez et nous enverrons votre CV ou profil au recruteur. Êtes-vous sûr(e) de vouloir postuler ?",Door naar rechts te swipen solliciteer je op de vacature. Wij versturen dan jouw cv naar de werkgever. Weet je zeker dat je wilt solliciteren op deze vacature?,Swipar du höger skickas ditt CV till arbetsgivaren i form av en ansökan. Är du säker på att du vill swipa höger på det här jobbet?,"Trascinando un'offerta verso destra ti candiderai, e invieremo le tue informazioni all'azienda. Sei sicuro di voler candidarti a questa offerta?","En swipant une offre vers la droite, vous y postulez et nous enverrons votre CV ou profil au recruteur. Êtes-vous sûr(e) de vouloir postuler ?",Door naar rechts te swipen solliciteer je op de vacature. Wij versturen dan jouw cv naar de werkgever. Weet je zeker dat je wilt solliciteren op deze vacature?,"Swiping right applies to a job, and we\'ll send your Monster CV to the employer. Are you sure you want to apply to this job?","En swipant une offre vers la droite, vous y postulez et nous enverrons votre CV ou profil au recruteur. Êtes-vous sûr(e) de vouloir postuler ?","Sicher? Der Swipe nach rechts sendet deinen Lebenslauf, falls nicht vorhanden, dein Profil.","En swipant une offre vers la droite, vous y postulez et nous enverrons votre CV ou profil au recruteur. Êtes-vous sûr(e) de vouloir postuler ?","Sicher? Der Swipe nach rechts sendet deinen Lebenslauf, falls nicht vorhanden, dein Profil.","Swiping right applies to a job, and we\'ll send your Monster CV to the employer. Are you sure you want to apply to this job?","Sicher? Der Swipe nach rechts sendet deinen Lebenslauf, falls nicht vorhanden, dein Profil.","Swiping right applies to a job, and we\'ll send your Monster CV to the employer. Are you sure you want to apply to this job?",Przesuwając w prawo aplikujesz na ofertę i Twoje CV zostanie wysłane do pracodawcy. Na pewno chcesz aplikować na tę ofertę?,"Oikealle pyyhkäisyllä haet tehtävään ja lähettää hakemuksesi syönantajalle. Oletko varma, että haluat jatkaa?","Al deslizar una oferta hacia la derecha, estarás solicitándola y enviaremos tu CV o perfil a la empresa. ¿Estás seguro de querer solicitar?","Potáhnutím doprava odpovíš na nabídku práce, čímž se automaticky zašle tvé CV danému zaměstnavateli. ","Ha egy állást jobbra húzol, akkor a Jobr önéletrajzod elküldjük a munkaadónak. Biztosan megpályázod ezt az állásajánlatot?"
